Name,Minutes to Park St./DTX,Headway (?),Miles to Lechmere,Min. to Lechmere,Min to Boston Common,Lat (New),Long (New)
Kendall,4,6,,,7,42.362315,-71.085723
Central,8,6,,,11,42.365264,-71.103361
Harvard,11,6,,,14,42.373467,-71.118914
Lechmere,13,3.42,0,0,14.71,42.371526,-71.077001
Sullivan,13,10,,,18,42.383932,-71.076369
Porter,16,6,,,19,42.388507,-71.118282
Union,#N/A,8,1.05,3,20,42.377536,-71.094816
E. Somerville,#N/A,8,1.05,3,20,42.380829,-71.087553
Davis,17,6,,,20,42.396637,-71.121852
Gilman,#N/A,8,1.6,5,22,42.387969,-71.09615
Magoun,#N/A,8,2,6,23,42.393367,-71.105978
Alewife,21,6,,,24,42.395546,-71.14217
Ball,#N/A,8,2.8,9,26,42.400086,-71.111111
College Ave.,#N/A,8,3.3,10,27,42.407129,-71.1164
